代码	名称	涨幅%	现价	买价	卖价	涨速%	换手%	收入同比%	利润同比%	净益率%	市盈(TTM)	市销率	净利润率%	研发费用(亿)	
880001	总市值	0.50	11915.25	--  	--  	-0.02	--  			--  	--  		--  	--  	
688305	科德数控	-0.21	66.21	--  	--  	0.33	          3.05	-17.40	6.85	   1.17㈠	97.93	81.41	         20.84	0.10	
301522	上大股份	-0.37	27.15	27.15	--  	0.07	          1.75	3.90	6.04	   1.24㈠	99.46	16.69	          3.98	0.25	
688170	德龙激光	-1.08	81.60	81.60	--  	0.12	          7.50	-11.93	-55.01	  -2.07㈠	507.91	96.58	        -29.23	0.29	
601890	亚星锚链	-2.15	8.64	8.64	8.65	-0.11	          1.55	-7.04	60.75	   2.17㈠	24.25	15.16	         16.03	0.29	
600764	中国海防	-1.62	18.20	18.20	18.21	-0.04	          0.61	4.09	-17.30	   0.32㈠	114.18	24.30	          4.87	0.63	
300285	国瓷材料	1.04	91.72	91.72	--  	0.31	         15.35	9.15	4.79	   1.97㈠	146.74	85.94	         13.94	0.70	
688116	天奈科技	-2.75	37.82	--  	--  	-0.04	          2.34	-5.82	-3.01	   1.47㈠	63.06	43.97	         17.84	0.24	
002023	海特高新	7.52	13.87	13.87	13.88	-0.06	         11.05	17.34	35.53	   0.69㈠	--  	28.72	          6.58	0.11	
603738	泰晶科技	-2.91	61.41	61.40	61.41	0.10	         12.67	24.31	165.21	   1.27㈠	366.59	95.08	          9.64	0.11	
001296	长江材料	-3.19	20.94	20.94	20.95	0.14	         10.64	-6.53	-34.25	   1.20㈠	28.74	14.49	          9.98	0.04	
002229	鸿博股份	-2.52	11.20	11.20	11.21	-0.17	          6.58	-86.99	-137.47	  -2.96㈠	--  	63.11	        -34.67	0.11	
003031	中瓷电子	3.50	194.00	194.00	194.01	-0.41	          5.17	79.05	57.32	   2.92㈠	133.54	79.62	         19.02	0.80	
000815	美利云	2.66	16.99	16.99	17.00	0.00	          9.20	-0.80	102.61	   1.58㈠	147.76	136.04	         26.25	0.02	
920429	康比特	-4.06	10.17	10.17	10.19	0.49	          1.62	-22.14	-166.06	  -0.95㈠	67.85	8.39	         -5.27	0.13	
301358	湖南裕能	1.11	84.85	84.85	--  	0.00	          4.77	121.31	1337.77	   7.12㈠	27.88	4.78	          9.08	1.80	
300570	太辰光	2.57	271.32	271.32	--  	0.01	         10.32	-8.04	-17.12	   3.72㈠	210.53	180.84	         19.78	0.12	
301155	海力风电	-1.27	44.33	--  	--  	-0.01	          2.63	-81.66	-79.03	   0.23㈠	32.93	120.39	         14.77	0.09	
300499	高澜股份	3.74	42.47	42.47	--  	-0.01	         19.10	-2.77	16.55	   1.09㈠	409.29	61.16	          8.17	0.10	
300725	药石科技	3.59	35.45	35.45	--  	0.00	          6.35	11.65	36.59	   0.89㈠	40.65	16.31	          9.62	0.30	
603456	九洲药业	1.59	13.40	13.40	13.41	-0.06	          2.89	-19.43	-31.22	   1.94㈠	17.99	9.93	         14.01	0.56	
688690	纳微科技	5.78	45.41	--  	--  	-0.06	          5.27	34.03	133.21	   3.33㈠	99.10	72.54	         27.10	0.41	
002962	五方光电	-3.74	18.01	18.01	18.02	-0.21	         18.12	15.06	-63.55	   0.23㈠	181.37	16.76	          1.20	0.12	
000977	浪潮信息	1.25	64.80	64.80	64.81	-0.02	          3.75	-24.30	30.74	   2.71㈠	36.78	2.68	          1.71	8.41	
002126	银轮股份	2.18	49.63	49.63	49.64	-0.13	          2.93	24.27	0.79	   2.83㈠	42.89	9.90	          5.67	1.52	
300797	钢研纳克	-1.98	13.86	--  	--  	0.14	          0.84	23.09	46.66	   1.75㈠	33.16	19.67	          9.02	0.41	
603308	应流股份	0.47	66.47	66.47	66.48	-0.02	          4.10	34.13	30.55	   2.32㈠	119.24	50.79	         12.64	0.71	
300586	美联新材	-2.42	15.32	15.32	--  	0.13	          9.81	-2.12	-84.86	   0.08㈠	--  	24.87	         -0.65	0.16	
688795	摩尔线程-U	0.11	704.80	704.80	--  	0.00	         11.57	0.00	0.00	   0.25㈠	--  	449.13	          3.98	3.69	
002929	润建股份	5.82	65.10	65.10	65.11	-0.01	         14.82	-23.49	-81.82	   0.20㈠	--  	10.16	          0.49	0.73	
300014	亿纬锂能	0.25	67.45	67.45	--  	-0.02	          3.88	61.61	31.35	   3.29㈠	32.64	7.09	          6.98	8.41	
002050	三花智控	1.64	43.90	43.90	43.91	-0.17	          2.39	1.36	2.68	   2.84㈠	44.47	23.76	         12.23	3.67	
603179	新泉股份	3.29	48.96	48.96	48.97	0.02	          4.57	3.42	-4.57	   2.69㈠	42.04	9.61	          5.40	1.87	
002048	宁波华翔	-2.68	24.73	24.73	24.74	0.00	          3.47	-17.43	6.63	   2.28㈠	47.52	3.89	          6.65	1.76	
603728	鸣志电器	0.45	59.69	59.69	59.70	0.02	          2.59	17.65	92.19	   0.46㈠	367.35	35.70	          1.95	0.74	
605111	新洁能	-0.53	79.49	79.49	79.50	0.01	          9.80	15.14	-12.68	   2.18㈠	87.36	63.85	         18.44	0.19	
300373	扬杰科技	0.02	132.99	132.99	--  	0.00	          7.97	34.87	41.01	   3.88㈠	52.71	33.93	         17.81	1.22	
600312	平高电气	0.00	18.37	18.36	18.37	0.05	          1.20	-2.41	15.75	   3.56㈠	21.19	10.17	         17.80	0.78	
300286	安科瑞	-2.05	28.22	--  	--  	0.18	          3.59	6.64	-3.65	   2.18㈠	35.54	27.28	         19.36	0.30	
301026	浩通科技	-2.03	23.15	23.15	--  	0.04	          5.05	150.13	159.16	   3.78㈠	24.51	2.87	          3.57	0.05	
301607	富特科技	5.69	47.55	47.55	--  	0.04	         11.47	107.40	291.33	   5.86㈠	38.68	10.60	          7.33	0.76	
300681	英搏尔	-0.39	30.66	--  	--  	0.07	          3.69	99.20	430.80	   1.84㈠	40.64	8.63	          5.22	0.81	
300007	汉威科技	-1.67	37.14	--  	37.14	-0.04	          4.15	-15.61	46.08	   0.84㈠	74.23	23.92	          3.45	0.50	
300910	瑞丰新材	3.95	29.19	--  	29.19	-0.09	          3.08	3.24	-28.22	   3.53㈠	15.79	12.76	         15.96	0.56	
002028	思源电气	-3.11	187.00	187.00	187.02	-0.32	          1.68	41.60	23.17	   3.41㈠	46.39	32.03	         12.52	3.54	
603529	爱玛科技	-1.95	19.62	19.62	19.63	-0.04	          0.59	-18.45	-67.57	   1.92㈠	10.68	3.35	          4.02	1.90	
688665	四方光电	-0.27	59.40	--  	--  	-0.24	          1.86	4.10	3.11	   2.85㈠	45.15	26.80	         15.02	0.28	
300480	光力科技	10.63	38.50	38.50	--  	0.18	         15.89	35.20	76.65	   1.86㈠	238.75	68.97	         14.77	0.25	
688045	必易微	0.15	80.33	80.33	--  	0.12	          3.41	66.38	203.79	   0.96㈠	145.76	27.70	          6.72	0.39	
688383	新益昌	3.67	192.92	192.92	--  	0.27	          2.08	11.13	82.39	   1.70㈠	--  	77.85	          8.27	0.24	
600460	士兰微	6.31	50.01	50.01	50.02	0.02	         10.20	17.31	40.57	   1.71㈠	170.61	23.65	          4.21	2.37	
688698	伟创电气	-1.01	54.13	--  	--  	-0.01	          3.02	20.98	-14.74	   2.02㈠	46.00	24.74	         11.54	0.55	
002185	华天科技	7.37	20.98	20.97	20.98	0.00	         17.87	34.49	568.39	   0.48㈠	79.60	14.53	          1.57	2.98	
688147	微导纳米	6.24	125.68	125.68	--  	-0.09	          2.87	-5.54	-75.01	   0.70㈠	351.57	121.10	          4.36	0.70	
002654	万润科技	3.69	18.84	18.84	18.85	0.00	          9.99	3.71	-192.42	  -0.34㈠	537.37	12.94	         -0.70	0.18	
301510	固高科技	1.85	34.08	--  	--  	-0.17	          4.91	50.12	183.06	   1.52㈠	173.32	87.62	         13.88	0.25	
300066	三川智慧	-1.53	6.42	6.42	--  	0.16	          7.12	31.60	-8.09	   0.57㈠	48.18	23.78	          5.80	0.12	
688359	三孚新科	0.60	161.97	--  	--  	0.01	          3.28	25.74	3.01	   0.89㈠	--  	101.53	          5.74	0.11	
002745	木林森	5.43	12.04	12.04	12.05	-0.07	          9.81	21.45	193.26	   3.53㈠	--  	3.79	          8.83	1.17	
688502	茂莱光学	13.73	570.00	570.00	--  	0.34	          6.32	28.63	-166.75	  -0.88㈠	1424.12	164.52	         -6.07	0.21	
001337	四川黄金	0.18	39.68	39.67	39.68	0.00	          2.30	130.79	176.93	  12.63㈠	26.18	34.66	         55.22	--  	
600547	山东黄金	-0.40	24.76	24.76	24.77	-0.15	          1.64	25.37	40.87	   3.14㈠	22.21	3.51	          7.50	1.50	
600489	中金黄金	-0.75	19.88	19.87	19.88	-0.14	          1.70	52.01	129.23	   7.26㈠	15.47	4.27	         12.69	1.17	
#数据来源:通达信
